[2024-12-31 05:03:47] [ 1s ] thds: 40 eps: 757.78 lat (ms,95%): 73.13
[2024-12-31 05:03:48] [ 2s ] thds: 40 eps: 865.93 lat (ms,95%): 59.99
[2024-12-31 05:03:49] [ 3s ] thds: 40 eps: 885.93 lat (ms,95%): 56.84
[2024-12-31 05:03:50] [ 4s ] thds: 40 eps: 893.15 lat (ms,95%): 55.82
[2024-12-31 05:03:51] [ 5s ] thds: 40 eps: 868.08 lat (ms,95%): 57.87
[2024-12-31 05:03:52] [ 6s ] thds: 40 eps: 860.43 lat (ms,95%): 71.83
[2024-12-31 05:03:53] [ 7s ] thds: 40 eps: 887.62 lat (ms,95%): 62.19
[2024-12-31 05:03:54] [ 8s ] thds: 40 eps: 892.06 lat (ms,95%): 56.84
[2024-12-31 05:03:55] [ 9s ] thds: 40 eps: 877.56 lat (ms,95%): 55.82
[2024-12-31 05:03:56] [ 10s ] thds: 40 eps: 882.52 lat (ms,95%): 54.83
[2024-12-31 05:03:57] [ 11s ] thds: 40 eps: 887.40 lat (ms,95%): 55.82
[2024-12-31 05:03:58] [ 12s ] thds: 40 eps: 876.45 lat (ms,95%): 59.99
[2024-12-31 05:03:59] [ 13s ] thds: 40 eps: 876.29 lat (ms,95%): 55.82
[2024-12-31 05:04:00] [ 14s ] thds: 40 eps: 879.51 lat (ms,95%): 56.84
[2024-12-31 05:04:01] [ 15s ] thds: 40 eps: 858.43 lat (ms,95%): 56.84
[2024-12-31 05:04:02] [ 16s ] thds: 40 eps: 835.61 lat (ms,95%): 63.32
[2024-12-31 05:04:03] [ 17s ] thds: 40 eps: 1079.81 lat (ms,95%): 61.08
[2024-12-31 05:04:04] [ 18s ] thds: 40 eps: 1285.89 lat (ms,95%): 43.39
[2024-12-31 05:04:05] [ 19s ] thds: 40 eps: 1272.06 lat (ms,95%): 43.39
[2024-12-31 05:04:06] [ 20s ] thds: 40 eps: 1289.67 lat (ms,95%): 43.39
[2024-12-31 05:04:07] [ 21s ] thds: 40 eps: 1282.38 lat (ms,95%): 43.39
[2024-12-31 05:04:08] [ 22s ] thds: 40 eps: 1264.50 lat (ms,95%): 44.17
[2024-12-31 05:04:09] [ 23s ] thds: 40 eps: 1291.87 lat (ms,95%): 43.39
[2024-12-31 05:04:10] [ 24s ] thds: 40 eps: 1304.22 lat (ms,95%): 43.39
[2024-12-31 05:04:11] [ 25s ] thds: 40 eps: 1321.09 lat (ms,95%): 43.39
[2024-12-31 05:04:12] [ 26s ] thds: 40 eps: 1276.42 lat (ms,95%): 43.39
[2024-12-31 05:04:13] [ 27s ] thds: 40 eps: 1298.45 lat (ms,95%): 43.39
[2024-12-31 05:04:14] [ 28s ] thds: 40 eps: 1278.82 lat (ms,95%): 43.39
[2024-12-31 05:04:15] [ 29s ] thds: 40 eps: 1261.86 lat (ms,95%): 43.39
[2024-12-31 05:04:16] [ 30s ] thds: 40 eps: 1315.10 lat (ms,95%): 43.39
[2024-12-31 05:04:17] [ 31s ] thds: 40 eps: 1275.13 lat (ms,95%): 43.39
[2024-12-31 05:04:18] [ 32s ] thds: 40 eps: 1224.49 lat (ms,95%): 43.39
[2024-12-31 05:04:19] [ 33s ] thds: 40 eps: 1058.39 lat (ms,95%): 53.85
[2024-12-31 05:04:20] [ 34s ] thds: 40 eps: 1635.94 lat (ms,95%): 55.82
[2024-12-31 05:04:21] [ 35s ] thds: 40 eps: 2409.30 lat (ms,95%): 40.37
