Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=1250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        17739.79          ---          ---         0.82109         0.56700         6.23900        11.32700      1193.51 
Gets       177365.20     69893.03    107472.17         0.80588         0.55100         6.23900        11.26300      8468.05 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     195105.00     69893.03    107472.17         0.80727         0.55100         6.23900        11.26300      9661.57 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.047        0.000
SET       0.223        5.000
SET       0.271       10.000
SET       0.319       15.000
SET       0.367       20.000
SET       0.399       25.000
SET       0.423       30.000
SET       0.447       35.000
SET       0.479       40.000
SET       0.519       45.000
SET       0.567       50.000
SET       0.583       52.500
SET       0.599       55.000
SET       0.623       57.500
SET       0.639       60.000
SET       0.655       62.500
SET       0.679       65.000
SET       0.719       67.500
SET       0.759       70.000
SET       0.799       72.500
SET       0.839       75.000
SET       0.855       76.250
SET       0.879       77.500
SET       0.919       78.750
SET       0.951       80.000
SET       0.991       81.250
SET       1.031       82.500
SET       1.071       83.750
SET       1.119       85.000
SET       1.183       86.250
SET       1.247       87.500
SET       1.271       88.125
SET       1.303       88.750
SET       1.351       89.375
SET       1.399       90.000
SET       1.447       90.625
SET       1.487       91.250
SET       1.551       91.875
SET       1.623       92.500
SET       1.695       93.125
SET       1.799       93.750
SET       1.855       94.062
SET       1.911       94.375
SET       1.975       94.688
SET       2.063       95.000
SET       2.143       95.312
SET       2.271       95.625
SET       2.399       95.938
SET       2.559       96.250
SET       2.783       96.562
SET       3.039       96.875
SET       3.199       97.031
SET       3.375       97.188
SET       3.583       97.344
SET       3.775       97.500
SET       3.983       97.656
SET       4.223       97.812
SET       4.415       97.969
SET       4.639       98.125
SET       4.927       98.281
SET       5.151       98.438
SET       5.279       98.516
SET       5.439       98.594
SET       5.567       98.672
SET       5.727       98.750
SET       5.887       98.828
SET       6.047       98.906
SET       6.207       98.984
SET       6.399       99.062
SET       6.591       99.141
SET       6.783       99.219
SET       6.911       99.258
SET       7.007       99.297
SET       7.135       99.336
SET       7.295       99.375
SET       7.455       99.414
SET       7.615       99.453
SET       7.775       99.492
SET       7.935       99.531
SET       8.127       99.570
SET       8.383       99.609
SET       8.511       99.629
SET       8.575       99.648
SET       8.703       99.668
SET       8.831       99.688
SET       8.959       99.707
SET       9.151       99.727
SET       9.279       99.746
SET       9.471       99.766
SET       9.663       99.785
SET       9.855       99.805
SET       9.919       99.814
SET      10.047       99.824
SET      10.175       99.834
SET      10.303       99.844
SET      10.495       99.854
SET      10.623       99.863
SET      10.751       99.873
SET      10.943       99.883
SET      11.135       99.893
SET      11.391       99.902
SET      11.455       99.907
SET      11.583       99.912
SET      11.711       99.917
SET      11.839       99.922
SET      11.967       99.927
SET      12.095       99.932
SET      12.223       99.937
SET      12.287       99.941
SET      12.415       99.946
SET      12.543       99.951
SET      12.607       99.954
SET      12.671       99.956
SET      12.735       99.958
SET      12.799       99.961
SET      12.863       99.963
SET      12.927       99.966
SET      12.991       99.968
SET      13.119       99.971
SET      13.183       99.973
SET      13.311       99.976
SET      13.375       99.977
SET      13.439       99.978
SET      13.439       99.979
SET      13.503       99.980
SET      13.503       99.982
SET      13.631       99.983
SET      13.695       99.984
SET      13.695       99.985
SET      13.759       99.987
SET      13.823       99.988
SET      13.823       99.988
SET      14.015       99.989
SET      14.079       99.990
SET      14.143       99.990
SET      14.143       99.991
SET      14.271       99.991
SET      14.335       99.992
SET      14.335       99.993
SET      14.463       99.993
SET      14.527       99.994
SET      14.527       99.994
SET      14.527       99.995
SET      14.591       99.995
SET      14.655       99.995
SET      14.655       99.995
SET      14.719       99.996
SET      14.719       99.996
SET      14.783       99.996
SET      14.783       99.997
SET      14.783       99.997
SET      14.847       99.997
SET      14.847       99.997
SET      14.847       99.997
SET      14.911       99.998
SET      14.911       99.998
SET      15.039       99.998
SET      15.039       99.998
SET      15.039       99.998
SET      15.039       99.998
SET      15.039       99.998
SET      15.103       99.999
SET      15.103       99.999
SET      15.103       99.999
SET      15.103       99.999
SET      15.103       99.999
SET      15.103       99.999
SET      15.103       99.999
SET      15.103       99.999
SET      15.103       99.999
SET      15.103       99.999
SET      15.295       99.999
SET      15.295       99.999
SET      15.295       99.999
SET      15.295       99.999
SET      15.295       99.999
SET      15.295       99.999
SET      15.295      100.000
SET      15.295      100.000
SET      15.295      100.000
SET      15.295      100.000
SET      16.063      100.000
SET      16.063      100.000
SET      16.063      100.000
SET      16.063      100.000
SET      16.063      100.000
SET      16.063      100.000
SET      16.063      100.000
SET      16.063      100.000
SET      16.063      100.000
SET      16.063      100.000
SET      20.863      100.000
SET      20.863      100.000
---
GET       0.039        0.000
GET       0.215        5.000
GET       0.263       10.000
GET       0.311       15.000
GET       0.359       20.000
GET       0.391       25.000
GET       0.415       30.000
GET       0.439       35.000
GET       0.471       40.000
GET       0.503       45.000
GET       0.551       50.000
GET       0.567       52.500
GET       0.591       55.000
