Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         4545.48          ---          ---         1.10641         0.94300         3.75900         5.82300       305.77 
Gets        45448.10     18175.44     27272.66         1.06272         0.91900         3.47100         5.95100      2185.31 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      49993.58     18175.44     27272.66         1.06669         0.92700         3.50300         5.91900      2491.08 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.071        0.000
SET       0.423        5.000
SET       0.535       10.000
SET       0.623       15.000
SET       0.687       20.000
SET       0.735       25.000
SET       0.775       30.000
SET       0.815       35.000
SET       0.855       40.000
SET       0.895       45.000
SET       0.943       50.000
SET       0.975       52.500
SET       0.999       55.000
SET       1.031       57.500
SET       1.063       60.000
SET       1.103       62.500
SET       1.135       65.000
SET       1.175       67.500
SET       1.207       70.000
SET       1.247       72.500
SET       1.287       75.000
SET       1.311       76.250
SET       1.335       77.500
SET       1.359       78.750
SET       1.383       80.000
SET       1.415       81.250
SET       1.447       82.500
SET       1.487       83.750
SET       1.527       85.000
SET       1.575       86.250
SET       1.631       87.500
SET       1.671       88.125
SET       1.703       88.750
SET       1.743       89.375
SET       1.791       90.000
SET       1.839       90.625
SET       1.887       91.250
SET       1.951       91.875
SET       2.023       92.500
SET       2.095       93.125
SET       2.175       93.750
SET       2.223       94.062
SET       2.287       94.375
SET       2.335       94.688
SET       2.383       95.000
SET       2.447       95.312
SET       2.511       95.625
SET       2.575       95.938
SET       2.639       96.250
SET       2.719       96.562
SET       2.799       96.875
SET       2.847       97.031
SET       2.895       97.188
SET       2.943       97.344
SET       2.991       97.500
SET       3.055       97.656
SET       3.119       97.812
SET       3.183       97.969
SET       3.263       98.125
SET       3.327       98.281
SET       3.423       98.438
SET       3.455       98.516
SET       3.503       98.594
SET       3.551       98.672
SET       3.599       98.750
SET       3.647       98.828
SET       3.695       98.906
SET       3.759       98.984
SET       3.807       99.062
SET       3.887       99.141
SET       3.951       99.219
SET       3.983       99.258
SET       4.015       99.297
SET       4.063       99.336
SET       4.095       99.375
SET       4.159       99.414
SET       4.223       99.453
SET       4.287       99.492
SET       4.351       99.531
SET       4.447       99.570
SET       4.511       99.609
SET       4.543       99.629
SET       4.607       99.648
SET       4.671       99.668
SET       4.671       99.688
SET       4.767       99.707
SET       4.831       99.727
SET       4.895       99.746
SET       5.023       99.766
SET       5.119       99.785
SET       5.215       99.805
SET       5.279       99.814
SET       5.343       99.824
SET       5.407       99.834
SET       5.439       99.844
SET       5.503       99.854
SET       5.599       99.863
SET       5.631       99.873
SET       5.695       99.883
SET       5.759       99.893
SET       5.855       99.902
SET       5.887       99.907
SET       5.951       99.912
SET       5.983       99.917
SET       6.015       99.922
SET       6.079       99.927
SET       6.111       99.932
SET       6.207       99.937
SET       6.303       99.941
SET       6.335       99.946
SET       6.399       99.951
SET       6.463       99.954
SET       6.527       99.956
SET       6.559       99.958
SET       6.623       99.961
SET       6.783       99.963
SET       6.847       99.966
SET       6.975       99.968
SET       7.519       99.971
SET       7.807       99.973
SET       8.095       99.976
SET       8.447       99.977
SET       8.511       99.978
SET       8.831       99.979
SET       8.959       99.980
SET       9.215       99.982
SET       9.279       99.983
SET       9.471       99.984
SET       9.727       99.985
SET       9.791       99.987
SET      10.047       99.988
SET      10.111       99.988
SET      10.239       99.989
SET      10.239       99.990
SET      10.431       99.990
SET      10.495       99.991
SET      10.495       99.991
SET      10.687       99.992
SET      10.815       99.993
SET      10.815       99.993
SET      10.943       99.994
SET      11.071       99.994
SET      11.071       99.995
SET      11.071       99.995
SET      11.199       99.995
SET      11.199       99.995
SET      11.263       99.996
SET      11.263       99.996
SET      11.455       99.996
SET      11.455       99.997
SET      11.455       99.997
SET      11.583       99.997
SET      11.583       99.997
SET      11.583       99.997
SET      11.583       99.998
SET      11.583       99.998
SET      11.967       99.998
SET      11.967       99.998
SET      11.967       99.998
SET      11.967       99.998
SET      11.967       99.998
SET      12.479       99.999
SET      12.479       99.999
SET      12.479       99.999
SET      12.479       99.999
SET      12.479       99.999
SET      12.479       99.999
SET      12.479       99.999
SET      12.479       99.999
SET      12.479       99.999
SET      12.479       99.999
SET      12.863       99.999
SET      12.863      100.000
---
GET       0.055        0.000
GET       0.399        5.000
GET       0.519       10.000
GET       0.591       15.000
GET       0.663       20.000
GET       0.711       25.000
GET       0.759       30.000
GET       0.799       35.000
GET       0.831       40.000
GET       0.879       45.000
GET       0.919       50.000
GET       0.943       52.500
GET       0.975       55.000
GET       0.999       57.500
GET       1.031       60.000
GET       1.063       62.500
GET       1.103       65.000
GET       1.143       67.500
GET       1.175       70.000
GET       1.215       72.500
GET       1.263       75.000
GET       1.279       76.250
GET       1.303       77.500
GET       1.327       78.750
GET       1.351       80.000
GET       1.375       81.250
GET       1.407       82.500
GET       1.439       83.750
GET       1.471       85.000
GET       1.519       86.250
GET       1.567       87.500
GET       1.591       88.125
GET       1.623       88.750
GET       1.655       89.375
GET       1.695       90.000
GET       1.735       90.625
GET       1.783       91.250
GET       1.831       91.875
GET       1.887       92.500
GET       1.951       93.125
GET       2.023       93.750
GET       2.063       94.062
GET       2.111       94.375
GET       2.159       94.688
GET       2.191       95.000
GET       2.255       95.312
GET       2.303       95.625
GET       2.367       95.938
GET       2.431       96.250
GET       2.495       96.562
GET       2.559       96.875
GET       2.607       97.031
GET       2.655       97.188
GET       2.687       97.344
GET       2.735       97.500
GET       2.799       97.656
GET       2.847       97.812
GET       2.911       97.969
GET       2.975       98.125
GET       3.039       98.281
GET       3.119       98.438
GET       3.167       98.516
GET       3.199       98.594
GET       3.247       98.672
GET       3.295       98.750
GET       3.343       98.828
GET       3.407       98.906
GET       3.455       98.984
GET       3.519       99.062
GET       3.599       99.141
GET       3.679       99.219
GET       3.727       99.258
GET       3.775       99.297
GET       3.823       99.336
GET       3.871       99.375
GET       3.935       99.414
GET       3.999       99.453
GET       4.063       99.492
