Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         3615.10          ---          ---         2.98574         0.62300         8.15900        14.20700       243.19 
Gets        36118.47      8136.44     27982.04         2.98023         0.61500         8.15900        14.20700      1361.73 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      39733.58      8136.44     27982.04         2.98073         0.61500         8.15900        14.20700      1604.92 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.063        0.000
SET       0.159        5.000
SET       0.207       10.000
SET       0.247       15.000
SET       0.287       20.000
SET       0.327       25.000
SET       0.367       30.000
SET       0.415       35.000
SET       0.463       40.000
SET       0.527       45.000
SET       0.623       50.000
SET       0.695       52.500
SET       0.855       55.000
SET       1.591       57.500
SET       3.519       60.000
SET       3.967       62.500
SET       4.383       65.000
SET       6.847       67.500
SET       6.943       70.000
SET       7.007       72.500
SET       7.039       75.000
SET       7.039       76.250
SET       7.071       77.500
SET       7.071       78.750
SET       7.071       80.000
SET       7.071       81.250
SET       7.071       82.500
SET       7.103       83.750
SET       7.103       85.000
SET       7.103       86.250
SET       7.103       87.500
SET       7.103       88.125
SET       7.135       88.750
SET       7.135       89.375
SET       7.135       90.000
SET       7.135       90.625
SET       7.167       91.250
SET       7.167       91.875
SET       7.167       92.500
SET       7.167       93.125
SET       7.199       93.750
SET       7.199       94.062
SET       7.199       94.375
SET       7.231       94.688
SET       7.231       95.000
SET       7.231       95.312
SET       7.263       95.625
SET       7.263       95.938
SET       7.263       96.250
SET       7.295       96.562
SET       7.295       96.875
SET       7.327       97.031
SET       7.327       97.188
SET       7.327       97.344
SET       7.359       97.500
SET       7.359       97.656
SET       7.359       97.812
SET       7.391       97.969
SET       7.391       98.125
SET       7.423       98.281
SET       7.455       98.438
SET       7.487       98.516
SET       7.487       98.594
SET       7.519       98.672
SET       7.551       98.750
SET       7.583       98.828
SET       7.679       98.906
SET       8.031       98.984
SET       8.447       99.062
SET       8.959       99.141
SET       9.727       99.219
SET       9.983       99.258
SET      10.303       99.297
SET      10.431       99.336
SET      10.495       99.375
SET      10.559       99.414
SET      10.559       99.453
SET      10.623       99.492
SET      10.623       99.531
SET      10.623       99.570
SET      10.687       99.609
SET      10.687       99.629
SET      10.687       99.648
SET      10.687       99.668
SET      10.687       99.688
SET      10.751       99.707
SET      10.751       99.727
SET      10.815       99.746
SET      10.879       99.766
SET      11.007       99.785
SET      11.199       99.805
SET      11.391       99.814
SET      11.711       99.824
SET      12.095       99.834
SET      12.223       99.844
SET      13.119       99.854
SET      13.439       99.863
SET      14.079       99.873
SET      14.143       99.883
SET      14.207       99.893
SET      14.207       99.902
SET      14.271       99.907
SET      14.271       99.912
SET      14.335       99.917
SET      14.399       99.922
SET      14.591       99.927
SET      15.679       99.932
SET      16.255       99.937
SET      16.767       99.941
SET      16.767       99.946
SET      16.895       99.951
SET      16.895       99.954
SET      16.895       99.956
SET      17.023       99.958
SET      17.023       99.961
SET      17.023       99.963
SET      17.023       99.966
SET      17.663       99.968
SET      17.919       99.971
SET      20.479       99.973
SET      20.735       99.976
SET      21.119       99.977
SET      21.247       99.978
SET      21.247       99.979
SET      21.247       99.980
SET      21.247       99.982
SET      21.375       99.983
SET      21.375       99.984
SET      21.375       99.985
SET      21.375       99.987
SET      21.503       99.988
SET      21.503       99.988
SET      21.631       99.989
SET      21.631       99.990
SET      21.631       99.990
SET      21.759       99.991
