Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=1250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        16364.79          ---          ---         0.94515         0.46300         3.67900         5.69500      1100.88 
Gets       163613.78     54604.01    109009.77         0.93586         0.44700         3.63100         5.66300      7223.03 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     179978.57     54604.01    109009.77         0.93670         0.44700         3.64700         5.66300      8323.91 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.039        0.000
SET       0.087        5.000
SET       0.111       10.000
SET       0.127       15.000
SET       0.151       20.000
SET       0.167       25.000
SET       0.191       30.000
SET       0.223       35.000
SET       0.263       40.000
SET       0.319       45.000
SET       0.463       50.000
SET       1.031       52.500
SET       1.159       55.000
SET       1.223       57.500
SET       1.279       60.000
SET       1.343       62.500
SET       1.423       65.000
SET       1.535       67.500
SET       1.679       70.000
SET       1.751       72.500
SET       1.791       75.000
SET       1.807       76.250
SET       1.815       77.500
SET       1.823       78.750
SET       1.839       80.000
SET       1.847       81.250
SET       1.855       82.500
SET       1.863       83.750
SET       1.871       85.000
SET       1.871       86.250
SET       1.879       87.500
SET       1.887       88.125
SET       1.895       88.750
SET       1.895       89.375
SET       1.903       90.000
SET       1.911       90.625
SET       1.919       91.250
SET       1.927       91.875
SET       1.935       92.500
SET       1.943       93.125
SET       1.959       93.750
SET       1.967       94.062
SET       1.975       94.375
SET       1.983       94.688
SET       1.991       95.000
SET       2.007       95.312
SET       2.015       95.625
SET       2.039       95.938
SET       2.063       96.250
SET       2.095       96.562
SET       2.143       96.875
SET       2.175       97.031
SET       2.207       97.188
SET       2.271       97.344
SET       2.367       97.500
SET       2.559       97.656
SET       2.719       97.812
SET       2.831       97.969
SET       2.943       98.125
SET       3.055       98.281
SET       3.167       98.438
SET       3.231       98.516
SET       3.311       98.594
SET       3.407       98.672
SET       3.503       98.750
SET       3.583       98.828
SET       3.631       98.906
SET       3.663       98.984
SET       3.695       99.062
SET       3.727       99.141
SET       3.759       99.219
SET       3.791       99.258
SET       3.807       99.297
SET       3.839       99.336
SET       3.871       99.375
SET       3.903       99.414
SET       3.967       99.453
SET       4.031       99.492
SET       4.127       99.531
SET       4.319       99.570
SET       4.511       99.609
SET       4.575       99.629
SET       4.607       99.648
SET       4.671       99.668
SET       4.735       99.688
SET       4.831       99.707
SET       4.927       99.727
SET       5.055       99.746
SET       5.151       99.766
SET       5.311       99.785
SET       5.407       99.805
SET       5.439       99.814
SET       5.471       99.824
SET       5.503       99.834
SET       5.535       99.844
SET       5.567       99.854
SET       5.567       99.863
SET       5.599       99.873
SET       5.631       99.883
SET       5.663       99.893
SET       5.695       99.902
SET       5.727       99.907
SET       5.759       99.912
SET       5.791       99.917
SET       5.855       99.922
SET       5.919       99.927
SET       6.015       99.932
SET       6.111       99.937
SET       6.271       99.941
SET       6.399       99.946
SET       6.463       99.951
SET       6.495       99.954
SET       6.559       99.956
SET       6.591       99.958
SET       6.687       99.961
SET       6.751       99.963
SET       6.879       99.966
SET       7.007       99.968
SET       7.103       99.971
SET       7.167       99.973
SET       7.295       99.976
SET       7.295       99.977
SET       7.327       99.978
SET       7.327       99.979
SET       7.359       99.980
SET       7.391       99.982
SET       7.423       99.983
SET       7.455       99.984
SET       7.519       99.985
SET       7.551       99.987
SET       7.583       99.988
SET       7.615       99.988
SET       7.647       99.989
SET       7.647       99.990
SET       7.711       99.990
SET       7.839       99.991
SET       7.871       99.991
SET       7.967       99.992
SET       8.159       99.993
SET       8.255       99.993
SET       8.319       99.994
SET       8.447       99.994
SET       8.447       99.995
SET       8.447       99.995
SET       8.639       99.995
SET       8.767       99.995
SET       8.767       99.996
SET       8.831       99.996
SET       8.959       99.996
SET       8.959       99.997
SET       9.087       99.997
SET       9.087       99.997
SET       9.151       99.997
SET       9.215       99.997
SET       9.343       99.998
SET       9.343       99.998
SET       9.407       99.998
SET       9.599       99.998
SET       9.599       99.998
SET       9.599       99.998
SET      10.047       99.998
SET      10.047       99.999
SET      10.303       99.999
SET      10.303       99.999
SET      10.367       99.999
SET      10.367       99.999
SET      10.367       99.999
SET      10.751       99.999
SET      10.751       99.999
SET      10.751       99.999
SET      11.775       99.999
SET      11.775       99.999
SET      11.775       99.999
SET      11.775       99.999
SET      12.031       99.999
SET      12.031       99.999
SET      12.031       99.999
SET      12.031      100.000
SET      12.031      100.000
SET      12.031      100.000
SET      12.671      100.000
SET      12.671      100.000
SET      12.671      100.000
SET      12.671      100.000
SET      12.671      100.000
SET      12.671      100.000
SET      12.671      100.000
SET      12.671      100.000
SET      12.671      100.000
SET      12.671      100.000
SET      14.975      100.000
SET      14.975      100.000
---
GET       0.039        0.000
GET       0.087        5.000
GET       0.103       10.000
GET       0.127       15.000
GET       0.143       20.000
GET       0.167       25.000
GET       0.191       30.000
GET       0.215       35.000
GET       0.255       40.000
GET       0.311       45.000
GET       0.447       50.000
GET       0.983       52.500
GET       1.143       55.000
GET       1.215       57.500
GET       1.271       60.000
GET       1.335       62.500
GET       1.415       65.000
GET       1.527       67.500
GET       1.671       70.000
GET       1.751       72.500
GET       1.791       75.000
GET       1.799       76.250
GET       1.815       77.500
GET       1.823       78.750
GET       1.831       80.000
GET       1.839       81.250
GET       1.847       82.500
GET       1.855       83.750
GET       1.863       85.000
GET       1.871       86.250
GET       1.879       87.500
GET       1.887       88.125
GET       1.887       88.750
GET       1.895       89.375
GET       1.903       90.000
GET       1.903       90.625
GET       1.911       91.250
GET       1.919       91.875
GET       1.927       92.500
GET       1.935       93.125
GET       1.951       93.750
GET       1.959       94.062
GET       1.967       94.375
GET       1.975       94.688
GET       1.983       95.000
GET       1.991       95.312
GET       2.007       95.625
GET       2.023       95.938
GET       2.039       96.250
GET       2.079       96.562
GET       2.111       96.875
GET       2.127       97.031
GET       2.159       97.188
GET       2.207       97.344
GET       2.271       97.500
GET       2.367       97.656
GET       2.543       97.812
GET       2.719       97.969
GET       2.831       98.125
GET       2.959       98.281
GET       3.071       98.438
GET       3.135       98.516
GET       3.199       98.594
GET       3.279       98.672
GET       3.375       98.750
GET       3.487       98.828
GET       3.567       98.906
GET       3.631       98.984
GET       3.663       99.062
GET       3.711       99.141
GET       3.743       99.219
GET       3.759       99.258
GET       3.775       99.297
GET       3.807       99.336
GET       3.823       99.375
GET       3.855       99.414
GET       3.903       99.453
GET       3.951       99.492
GET       4.031       99.531
GET       4.127       99.570
GET       4.287       99.609
GET       4.415       99.629
GET       4.511       99.648
GET       4.575       99.668
GET       4.639       99.688
GET       4.703       99.707
GET       4.799       99.727
GET       4.927       99.746
GET       5.023       99.766
GET       5.183       99.785
GET       5.311       99.805
GET       5.375       99.814
GET       5.439       99.824
GET       5.471       99.834
GET       5.503       99.844
GET       5.535       99.854
GET       5.535       99.863
GET       5.567       99.873
GET       5.599       99.883
GET       5.631       99.893
GET       5.663       99.902
GET       5.695       99.907
GET       5.727       99.912
GET       5.759       99.917
GET       5.791       99.922
GET       5.823       99.927
GET       5.919       99.932
GET       6.015       99.937
GET       6.143       99.941
GET       6.271       99.946
GET       6.399       99.951
GET       6.431       99.954
GET       6.495       99.956
GET       6.527       99.958
GET       6.591       99.961
GET       6.655       99.963
GET       6.719       99.966
GET       6.783       99.968
GET       6.879       99.971
GET       7.007       99.973
GET       7.135       99.976
GET       7.199       99.977
GET       7.263       99.978
GET       7.295       99.979
GET       7.327       99.980
GET       7.359       99.982
GET       7.423       99.983
GET       7.423       99.984
GET       7.455       99.985
GET       7.487       99.987
GET       7.519       99.988
GET       7.551       99.988
GET       7.583       99.989
GET       7.615       99.990
GET       7.679       99.990
GET       7.711       99.991
GET       7.775       99.991
GET       7.871       99.992
GET       7.967       99.993
GET       8.095       99.993
GET       8.255       99.994
GET       8.319       99.994
GET       8.383       99.995
GET       8.447       99.995
GET       8.511       99.995
GET       8.575       99.995
GET       8.703       99.996
GET       8.831       99.996
GET       8.959       99.996
GET       9.023       99.997
GET       9.087       99.997
GET       9.151       99.997
GET       9.215       99.997
GET       9.279       99.997
GET       9.343       99.998
GET       9.407       99.998
GET       9.471       99.998
GET       9.535       99.998
GET       9.663       99.998
GET       9.855       99.998
