File: Hits/sec Misses/sec Avg_Latency P99_Latency P99.9_Latency
rorke1000-memtier-250k.txt: 54323.45 107558.88 0.93694 4.01500 6.43100
rorke1000-memtier-50k.txt: 17947.63 27500.09 1.44218 3.79100 7.10300
rorke100-memtier-250k.txt: 69893.03 107472.17 0.80727 6.23900 11.26300
rorke100-memtier-50k.txt: 18161.50 27278.41 1.05950 4.07900 6.04700
rorke1250-memtier-250k.txt: 48202.01 99317.19 1.00546 4.31900 7.39100
rorke1250-memtier-50k.txt: 16377.30 29065.34 1.69298 4.25500 7.32700
rorke125-memtier-250k.txt: 75368.46 111106.73 0.75163 5.59900 10.11100
rorke125-memtier-50k.txt: 18175.44 27272.66 1.06669 3.50300 5.91900
rorke1500-memtier-250k.txt: 43057.23 98801.18 1.04428 4.67100 7.87100
rorke1500-memtier-50k.txt: 15280.88 30154.74 1.89452 4.60700 8.09500
rorke150-memtier-250k.txt: 76273.74 115629.67 0.72335 4.38300 7.83900
rorke150-memtier-50k.txt: 18171.22 27278.83 1.03755 3.24700 5.88700
rorke1750-memtier-250k.txt: 40598.77 102475.09 1.06681 4.63900 8.89500
rorke1750-memtier-50k.txt: 14465.47 30952.18 2.08930 5.27900 8.89500
rorke175-memtier-250k.txt: 77790.72 117097.02 0.71392 4.31900 7.87100
rorke175-memtier-50k.txt: 18180.15 27268.73 1.02684 2.86300 5.98300
rorke2000-memtier-250k.txt: 39196.70 99595.87 1.11095 5.24700 10.23900
rorke2000-memtier-50k.txt: 13815.16 31217.21 2.40059 5.63100 9.59900
rorke200-memtier-250k.txt: 78545.38 118755.07 0.69416 4.25500 8.31900
rorke200-memtier-50k.txt: 18806.79 28209.67 1.03649 2.63900 5.85500
rorke2500-memtier-250k.txt: 38726.03 96100.44 1.12813 5.79100 12.67100
rorke2500-memtier-50k.txt: 12853.68 28378.77 2.50563 5.85500 10.23900
rorke250-memtier-250k.txt: 80134.25 121905.13 0.71036 3.13500 5.34300
rorke250-memtier-50k.txt: 18801.65 28204.37 1.04500 2.54300 5.91900
rorke25-memtier-250k.txt: 17541.32 48116.49 2.76548 42.49500 69.11900
rorke25-memtier-50k.txt: 10822.51 29645.78 2.65409 13.31100 17.27900
rorke3000-memtier-250k.txt: 34291.05 91554.96 1.24088 6.49500 14.52700
rorke3000-memtier-50k.txt: 10300.86 27738.88 2.83896 7.26300 12.22300
rorke300-memtier-250k.txt: 79641.38 120310.88 0.74749 3.27900 6.04700
rorke300-memtier-50k.txt: 18179.52 27269.78 1.04429 2.83100 5.82300
rorke3500-memtier-250k.txt: 34398.75 91282.70 1.22328 7.42300 17.15100
rorke3500-memtier-50k.txt: 8136.44 27982.04 2.98073 8.15900 14.20700
rorke350-memtier-250k.txt: 79912.04 120946.73 0.76626 3.03900 6.04700
rorke350-memtier-50k.txt: 18176.85 27270.94 1.04387 2.49500 5.88700
rorke4000-memtier-250k.txt: 31211.50 87723.34 1.32165 8.44700 19.45500
rorke4000-memtier-50k.txt: 6667.44 27703.03 3.18780 8.89500 16.19100
rorke400-memtier-250k.txt: 78580.77 120987.09 0.78503 2.68700 5.21500
rorke400-memtier-50k.txt: 18181.48 27267.22 1.06235 2.57500 5.72700
rorke450-memtier-250k.txt: 72141.65 120597.24 0.80984 2.87900 5.75900
rorke450-memtier-50k.txt: 18181.44 27270.27 1.07058 2.59100 5.82300
rorke500-memtier-250k.txt: 66485.20 120097.62 0.83854 3.08700 5.40700
rorke500-memtier-50k.txt: 18181.03 27267.72 1.08282 2.51100 5.66300
rorke50-memtier-250k.txt: 54939.24 84062.76 1.19585 14.01500 21.88700
rorke50-memtier-50k.txt: 16215.73 28749.40 1.36850 6.36700 7.87100
rorke600-memtier-250k.txt: 65793.93 111276.81 0.87672 2.70300 4.99100
rorke600-memtier-50k.txt: 18172.18 27277.10 1.16194 2.67100 6.04700
rorke700-memtier-250k.txt: 60627.78 112222.10 0.88861 2.95900 5.05500
rorke700-memtier-50k.txt: 18170.59 27276.71 1.22087 2.89500 5.75900
rorke75-memtier-250k.txt: 63453.43 99151.50 0.91880 8.51100 14.52700
rorke75-memtier-50k.txt: 17983.38 27466.12 1.13846 5.02300 6.49500
rorke800-memtier-250k.txt: 55599.74 110648.75 0.92893 3.47100 6.23900
rorke800-memtier-50k.txt: 18153.29 27294.21 1.33285 3.35900 6.43100
rorke900-memtier-250k.txt: 54604.01 109009.77 0.93670 3.64700 5.66300
rorke900-memtier-50k.txt: 18127.52 27321.28 1.38347 3.61500 6.55900
