File: Req/s Avg_Latency P99_Latency P99.9_Latency
rorke1000-mutated-250k.txt 124043.266898 5596734.335933 12617851 12841950
rorke1000-mutated-50k.txt 49940.195482 1076.457500 3150 4487
rorke100-mutated-250k.txt 107361.581162 6491459.432032 12197935 12400180
rorke100-mutated-50k.txt 50015.811949 218.268006 558 833
rorke1250-mutated-250k.txt 208066.933656 850610.676148 2889417 4936112
rorke1250-mutated-50k.txt 50083.594753 1346.909220 3525 5475
rorke125-mutated-250k.txt 101782.023455 5265010.504381 11424136 11626762
rorke125-mutated-50k.txt 50033.152232 238.202134 597 844
rorke1500-mutated-250k.txt 132961.020776 4958475.466986 11304107 11499906
rorke1500-mutated-50k.txt 49941.498743 1448.339322 4196 6077
rorke150-mutated-250k.txt 104046.284916 5811877.723580 13440691 13678466
rorke150-mutated-50k.txt 49938.316910 281.226164 683 935
rorke1750-mutated-250k.txt 91401.488793 3664777.469413 9417046 9597508
rorke1750-mutated-50k.txt 49992.781047 1806.897658 5067 7285
rorke175-mutated-250k.txt 120610.842968 5009422.191172 12373597 12573337
rorke175-mutated-50k.txt 50044.311285 310.137260 745 1127
rorke2000-mutated-250k.txt 103508.281082 5138780.481147 20119157 21450873
rorke2000-mutated-50k.txt 50023.159707 1950.238320 5645 7462
rorke200-mutated-250k.txt 135421.774463 4886410.218516 13635335 13850141
rorke200-mutated-50k.txt 49974.139487 363.273034 855 1161
rorke2500-mutated-250k.txt 99275.031167 5235213.421961 11464376 11661922
rorke2500-mutated-50k.txt 49968.262758 2434.266660 7162 9401
rorke250-mutated-250k.txt 105376.002234 6482187.983737 16919549 17171873
rorke250-mutated-50k.txt 49888.770208 389.560776 947 1247
rorke25-mutated-250k.txt 51786.724136 9879668.916259 36177951 36900549
rorke25-mutated-50k.txt 21340.082446 4965466.937350 16707519 16779612
rorke3000-mutated-250k.txt 115130.881010 4697470.928823 10717756 10909196
rorke3000-mutated-50k.txt 49996.591817 2433.689706 8503 11932
rorke300-mutated-250k.txt 115644.968733 6002920.604670 13766455 13991853
rorke300-mutated-50k.txt 50063.433920 454.003296 1236 1595
rorke3500-mutated-250k.txt 104820.810130 4573699.034591 10843767 11016289
rorke3500-mutated-50k.txt 49896.165048 2984.659002 9432 13262
rorke350-mutated-250k.txt 124747.745270 5563244.208733 14976546 15200878
rorke350-mutated-50k.txt 49968.189911 455.741710 1335 1697
rorke4000-mutated-250k.txt 101629.451877 4097763.632161 9079783 9235553
rorke4000-mutated-50k.txt 49936.350114 3038.142914 8930 14587
rorke400-mutated-250k.txt 103229.978100 6553367.028109 12990877 13218592
rorke400-mutated-50k.txt 49979.734987 518.000304 1513 1929
rorke450-mutated-250k.txt 83868.521129 6937804.623002 13564326 13782721
rorke450-mutated-50k.txt 50021.060938 544.745446 1682 2248
rorke500-mutated-250k.txt 103294.495808 6409663.900955 15254323 15498565
rorke500-mutated-50k.txt 49891.327558 607.390914 1770 2267
rorke50-mutated-250k.txt 76616.837960 7571880.974166 24105723 24368966
rorke50-mutated-50k.txt 50023.033551 327.704248 1548 2456
rorke600-mutated-250k.txt 86975.806230 6196640.472927 12526905 12694892
rorke600-mutated-50k.txt 50061.216828 688.868710 1980 2655
rorke700-mutated-250k.txt 102669.098370 6822184.818412 15116757 15359193
rorke700-mutated-50k.txt 50113.557502 825.128840 2479 3160
rorke75-mutated-250k.txt 107615.205565 5097193.973400 11899764 12148575
rorke75-mutated-50k.txt 50060.146610 217.984836 597 940
rorke800-mutated-250k.txt 117213.679227 5625419.236744 13459262 14741600
rorke800-mutated-50k.txt 50032.582288 893.227824 2756 3647
rorke900-mutated-250k.txt 89952.090766 5808281.279084 11636257 11826784
rorke900-mutated-50k.txt 49903.834019 1007.176726 3007 4127
