rorke_time_slice,silo_rate,agg_throughput,avg_per_core_throughput,avg_latency,p99_latency
rorke-100,100000,63808.8,7976.1,12564.2,25757.9
rorke-100,250,1953.17,244.147,0.903186,13.815
rorke-100,500,3798.92,474.865,0.911528,13.8271
rorke-100,750,5602.56,700.32,0.927465,13.8971
rorke-100,1000,7362.31,920.289,0.95089,13.9065
rorke-100,1500,10655.0,1331.87,1.07005,14.6022
rorke-100,2000,13790.7,1723.84,1.05096,14.513
rorke-100,3000,19677.8,2459.73,1.19903,15.1125
rorke-100,4000,25251.1,3156.38,1.32916,15.2814
rorke-100,5000,30601.0,3825.12,1.5341,15.9594
rorke-100,6000,35721.0,4465.13,1.806,18.7332
rorke-100,7000,40604.0,5075.5,2.16248,24.1676
rorke-100,8000,44895.3,5611.91,3.43971,38.9161
rorke-100,9000,49217.7,6152.22,4.44076,42.7685
rorke-100,10000,53142.8,6642.84,7.7571,65.268
rorke-100,20000,64427.7,8053.46,4396.2,9843.94
rorke-100,30000,63062.5,7882.81,7934.34,16641.6
rorke-100,40000,64973.7,8121.71,9373.76,19623.6
rorke-100,50000,57394.3,7174.29,9833.71,22397.5
rorke-100,60000,64240.6,8030.07,11271.8,23079.1
rorke-100,70000,65088.6,8136.07,11651.0,23924.9
rorke-100,90000,61770.4,7721.3,11934.1,25344.8
rorke-100,80000,66440.8,8305.1,11861.0,24501.2
rorke-100,15000,65975.2,8246.9,688.198,2698.4
vanilla,250,1917.7,239.712,2.25127,18.0589
vanilla,500,3798.95,474.868,2.24183,18.265
vanilla,750,5674.48,709.31,2.21895,18.1691
vanilla,1000,7487.55,935.944,2.24719,18.5521
vanilla,1500,11189.4,1398.68,2.40514,18.9818
vanilla,2000,14813.2,1851.65,2.52437,20.1374
vanilla,3000,21811.7,2726.46,2.60635,19.7094
vanilla,4000,28542.1,3567.76,2.83125,20.8768
vanilla,5000,34955.2,4369.4,3.0383,22.0786
vanilla,6000,41183.7,5147.97,3.18536,22.1367
vanilla,7000,46782.4,5847.8,3.6047,26.2866
vanilla,8000,52367.8,6545.97,4.11415,31.2982
vanilla,9000,57438.3,7179.79,4.82462,37.2995
vanilla,10000,62001.2,7750.15,6.90823,53.2004
vanilla,20000,77316.3,9664.54,3647.89,8551.95
vanilla,30000,78576.4,9822.05,7193.81,15225.1
vanilla,40000,79237.1,9904.64,8947.75,18679.4
vanilla,50000,79021.9,9877.74,10082.1,20883.3
vanilla,60000,80271.9,10034.0,10803.4,22250.2
vanilla,70000,79151.9,9893.99,11292.0,23355.7
vanilla,80000,79549.8,9943.73,11665.5,24127.9
vanilla,90000,79788.1,9973.52,12041.0,24698.5
vanilla,100000,79116.8,9889.61,12273.9,25263.0
ufo,250,1856.01,232.002,3.78001,18.1893
ufo,500,3697.73,462.216,3.76746,19.4004
ufo,750,5525.94,690.743,3.80608,19.4038
ufo,1000,7373.19,921.649,3.90041,19.5091
ufo,1500,10969.1,1371.14,4.06749,21.5255
ufo,2000,14469.6,1808.69,4.37964,24.8509
ufo,3000,21382.0,2672.75,4.53357,25.8994
ufo,4000,28064.8,3508.09,4.7983,27.1092
ufo,5000,34509.8,4313.73,5.08159,29.5827
ufo,6000,40725.8,5090.73,5.31257,29.7696
ufo,7000,46643.7,5830.46,5.80696,32.7841
ufo,8000,52144.8,6518.1,6.50226,36.4578
ufo,9000,57625.6,7203.2,6.85332,36.1499
ufo,10000,62436.8,7804.6,8.02828,46.0615
ufo,20000,81234.4,10154.3,2979.36,7137.64
ufo,30000,80042.1,10005.3,6876.69,14754.6
ufo,40000,80709.2,10088.7,8867.33,18373.7
ufo,50000,79431.7,9928.96,10079.0,20806.0
ufo,60000,79724.2,9965.52,10831.1,22202.5
ufo,70000,80368.1,10046.0,11226.7,23192.9
ufo,80000,81024.1,10128.0,11645.6,23970.4
ufo,90000,81812.3,10226.5,11787.7,24569.6
ufo,100000,81961.5,10245.2,12245.1,25024.7
native,250,993.471,248.368,1.2326,11.5535
native,500,1987.23,496.807,1.19142,11.4502
native,750,2974.49,743.623,1.20356,11.5227
native,1000,3942.65,985.663,1.19925,11.5669
native,1500,5899.45,1474.86,1.20463,11.6189
native,2000,7775.45,1943.86,1.23911,11.6306
native,3000,11596.8,2899.21,1.29686,11.6876
native,4000,15260.4,3815.11,1.47754,11.8697
native,5000,18785.4,4696.36,1.37559,11.7696
native,6000,22335.8,5583.96,1.50031,11.9545
native,7000,25794.6,6448.65,1.473,11.8685
native,8000,29117.6,7279.4,1.5252,11.9836
native,9000,32359.1,8089.78,1.58652,11.9923
native,10000,35628.2,8907.06,1.64839,12.0495
native,20000,64365.6,16091.4,2.83288,27.2152
native,30000,87916.5,21979.1,24.9627,186.466
native,40000,96775.7,24193.9,1469.19,4828.52
native,50000,97281.7,24320.4,3885.28,9875.26
native,60000,96867.7,24216.9,5701.39,12943.1
native,70000,99796.3,24949.1,6466.91,14726.4
native,80000,97943.9,24486.0,7645.38,16917.6
native,90000,97909.9,24477.5,8434.64,18322.1
native,100000,97550.7,24387.7,9082.68,19512.8
