sched,silo_rate,agg_throughput,avg_per_core_throughput,avg_latency,p99_latency
rorke-25,1000,7356.7,919.588,1.02718,14.8919
rorke-25,10000,39745.9,4968.23,50.4307,306.366
rorke-25,20000,42596.1,5324.51,6398.28,13173.8
rorke-50,1000,7385.21,923.151,0.984936,14.5849
rorke-50,10000,47256.5,5907.06,9.74956,84.3521
rorke-50,20000,55912.2,6989.03,4870.46,10733.7
rorke-75,1000,7359.3,919.912,1.02957,14.9417
rorke-75,10000,52060.2,6507.53,7.24621,67.8597
rorke-75,20000,64271.2,8033.9,4048.08,9030.35
rorke-100,1000,7366.53,920.816,0.989684,14.2479
rorke-100,10000,50512.7,6314.09,143.162,1365.3
rorke-100,20000,67861.1,8482.64,3932.94,8826.26
rorke-125,1000,7342.81,917.852,0.983149,14.3348
rorke-125,10000,50126.5,6265.81,268.456,1974.64
rorke-125,20000,71511.6,8938.95,3601.78,8426.33
rorke-150,1000,7344.71,918.088,1.08468,14.8768
rorke-150,10000,55673.8,6959.22,5.9589,62.8393
rorke-150,20000,73738.3,9217.29,3324.37,7591.01
rorke-175,1000,7294.32,911.79,1.02685,14.7191
rorke-175,10000,56445.9,7055.74,3.77301,38.646
rorke-175,20000,76755.4,9594.42,2931.01,7028.25
rorke-200,1000,7285.01,910.627,1.04109,14.4847
rorke-200,10000,57223.2,7152.9,3.40416,36.3
rorke-200,20000,69889.9,8736.24,3094.5,9084.24
rorke-250,1000,7192.24,899.029,1.05182,14.5732
rorke-250,10000,57553.1,7194.14,3.58988,39.3603
rorke-250,20000,79462.1,9932.76,2742.56,6858.57
rorke-300,1000,7185.5,898.188,1.09964,14.948
rorke-300,10000,57896.2,7237.03,3.85923,41.6312
rorke-300,20000,69101.1,8637.63,3205.66,9959.54
rorke-350,1000,7172.17,896.521,1.09978,14.7588
rorke-350,10000,58359.0,7294.88,3.93716,44.9085
rorke-350,20000,80696.3,10087.0,2771.24,6694.47
rorke-400,1000,7152.63,894.078,1.12523,14.8597
rorke-400,10000,58659.5,7332.43,3.10787,33.0632
rorke-400,20000,81785.4,10223.2,2479.69,6386.81
rorke-450,1000,7094.63,886.829,1.04617,14.0764
rorke-450,10000,58780.7,7347.59,3.4038,35.755
rorke-450,20000,71074.4,8884.3,3261.01,9964.58
