sched,silo_rate,agg_throughput,avg_per_core_throughput,avg_latency,p99_latency
rorke-25,1000,7178.76,897.345,4.39918,23.8665
rorke-25,10000,39224.5,4903.07,3135.91,8658.48
rorke-50,1000,7008.59,876.074,4.85346,24.479
rorke-50,10000,58291.9,7286.49,279.299,2082.95
rorke-75,1000,7361.92,920.24,3.92188,20.6173
rorke-75,10000,50060.9,6257.62,585.435,4235.78
rorke-100,1000,7292.28,911.534,4.04879,20.0005
rorke-100,10000,54961.0,6870.12,1427.06,4823.5
rorke-125,1000,7380.41,922.551,3.91041,20.1072
rorke-125,10000,57543.0,7192.88,546.592,2992.79
rorke-150,1000,7336.27,917.034,3.90836,19.8774
rorke-150,10000,57866.4,7233.3,826.492,4075.13
rorke-175,1000,7376.64,922.08,4.01395,21.2004
rorke-175,10000,62127.3,7765.92,8.09406,46.0401
rorke-200,1000,7297.86,912.232,3.99878,20.5404
rorke-200,10000,60720.8,7590.1,114.681,1134.37
rorke-250,1000,7376.29,922.036,3.90634,20.2294
rorke-250,10000,62814.5,7851.82,7.76019,44.8817
rorke-300,1000,7385.95,923.244,3.84385,19.4128
rorke-300,10000,62792.7,7849.09,7.89416,44.8586
rorke-350,1000,7371.39,921.424,3.84706,19.6732
rorke-350,10000,62585.0,7823.13,7.93487,44.5212
rorke-400,1000,7404.25,925.531,3.87393,19.791
rorke-400,10000,62779.7,7847.47,7.54463,39.7975
rorke-450,1000,7371.95,921.494,3.86601,19.4317
rorke-450,10000,62783.4,7847.93,7.62673,43.8786
rorke-500,1000,7387.77,923.471,3.87334,19.3681
rorke-500,10000,62718.2,7839.78,7.63891,40.1579
rorke-600,1000,7351.44,918.93,3.89949,19.8028
rorke-600,10000,62655.2,7831.9,8.18828,50.3286
rorke-700,1000,7360.23,920.029,3.80323,18.9375
rorke-700,10000,62712.6,7839.07,7.47537,39.8971
rorke-800,1000,7378.01,922.251,3.90201,19.9474
rorke-800,10000,62703.8,7837.98,7.53107,41.3781
rorke-900,1000,7340.34,917.543,3.8224,19.6011
rorke-900,10000,62810.7,7851.34,7.71636,44.4581
rorke-1000,1000,7379.13,922.392,3.87254,20.0671
rorke-1000,10000,62973.0,7871.63,7.28063,39.6286
rorke-1250,1000,7404.72,925.59,3.88911,20.0848
rorke-1250,10000,62807.8,7850.97,7.47367,41.6649
rorke-1500,1000,7400.61,925.076,3.8685,20.1237
rorke-1500,10000,62264.0,7783.0,8.37556,47.4866
rorke-1750,1000,7370.17,921.271,3.90893,20.398
rorke-1750,10000,62798.7,7849.84,7.68332,42.4014
rorke-2000,1000,7328.73,916.092,3.95945,20.8824
rorke-2000,10000,62879.2,7859.9,7.38178,40.3409
rorke-2500,1000,7357.07,919.633,3.84553,19.6136
rorke-2500,10000,63078.2,7884.78,7.33802,38.5939
rorke-3000,1000,7372.19,921.523,3.90078,19.971
rorke-3000,10000,62712.2,7839.03,8.41313,50.6477
rorke-3500,1000,7364.09,920.511,3.89843,19.9776
rorke-3500,10000,62858.3,7857.29,7.67943,44.4285
rorke-4000,1000,7392.27,924.034,3.88143,19.6016
rorke-4000,10000,63155.3,7894.42,7.44577,42.5116
rorke-4500,1000,7340.82,917.602,3.86252,19.5036
rorke-4500,10000,62842.7,7855.33,7.46948,43.055
rorke-5000,1000,7416.53,927.066,3.8583,19.2154
rorke-5000,10000,62947.0,7868.38,7.71284,43.3643
rorke-25,1000,7350.38,918.797,3.87783,19.7232
rorke-25,10000,63069.6,7883.71,7.39905,41.8638
