Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=1250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        18651.16          ---          ---         0.76541         0.53500         5.66300        10.17500      1254.69 
Gets       186475.19     75368.46    111106.73         0.75025         0.52700         5.56700        10.11100      9013.16 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     205126.35     75368.46    111106.73         0.75163         0.52700         5.59900        10.11100     10267.85 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.047        0.000
SET       0.231        5.000
SET       0.263       10.000
SET       0.295       15.000
SET       0.327       20.000
SET       0.367       25.000
SET       0.407       30.000
SET       0.455       35.000
SET       0.487       40.000
SET       0.511       45.000
SET       0.535       50.000
SET       0.551       52.500
SET       0.567       55.000
SET       0.591       57.500
SET       0.615       60.000
SET       0.647       62.500
SET       0.671       65.000
SET       0.703       67.500
SET       0.735       70.000
SET       0.767       72.500
SET       0.799       75.000
SET       0.823       76.250
SET       0.839       77.500
SET       0.871       78.750
SET       0.903       80.000
SET       0.935       81.250
SET       0.975       82.500
SET       1.007       83.750
SET       1.039       85.000
SET       1.079       86.250
SET       1.135       87.500
SET       1.159       88.125
SET       1.191       88.750
SET       1.231       89.375
SET       1.263       90.000
SET       1.295       90.625
SET       1.335       91.250
SET       1.391       91.875
SET       1.447       92.500
SET       1.519       93.125
SET       1.583       93.750
SET       1.623       94.062
SET       1.679       94.375
SET       1.735       94.688
SET       1.799       95.000
SET       1.871       95.312
SET       1.967       95.625
SET       2.079       95.938
SET       2.223       96.250
SET       2.415       96.562
SET       2.687       96.875
SET       2.847       97.031
SET       3.007       97.188
SET       3.183       97.344
SET       3.391       97.500
SET       3.583       97.656
SET       3.775       97.812
SET       3.983       97.969
SET       4.191       98.125
SET       4.415       98.281
SET       4.639       98.438
SET       4.767       98.516
SET       4.895       98.594
SET       5.023       98.672
SET       5.151       98.750
SET       5.311       98.828
SET       5.471       98.906
SET       5.631       98.984
SET       5.791       99.062
SET       5.951       99.141
SET       6.143       99.219
SET       6.271       99.258
SET       6.367       99.297
SET       6.495       99.336
SET       6.591       99.375
SET       6.719       99.414
SET       6.879       99.453
SET       7.007       99.492
SET       7.199       99.531
SET       7.391       99.570
SET       7.551       99.609
SET       7.647       99.629
SET       7.743       99.648
SET       7.903       99.668
SET       7.999       99.688
SET       8.127       99.707
SET       8.255       99.727
SET       8.383       99.746
SET       8.575       99.766
SET       8.767       99.785
SET       8.895       99.805
SET       9.023       99.814
SET       9.151       99.824
SET       9.215       99.834
SET       9.279       99.844
SET       9.407       99.854
SET       9.535       99.863
SET       9.663       99.873
SET       9.855       99.883
SET       9.983       99.893
SET      10.175       99.902
SET      10.303       99.907
SET      10.367       99.912
SET      10.495       99.917
SET      10.623       99.922
SET      10.751       99.927
SET      10.815       99.932
SET      10.943       99.937
SET      11.071       99.941
SET      11.199       99.946
SET      11.327       99.951
SET      11.391       99.954
SET      11.455       99.956
SET      11.519       99.958
SET      11.583       99.961
SET      11.647       99.963
SET      11.711       99.966
SET      11.839       99.968
SET      11.903       99.971
SET      12.031       99.973
SET      12.095       99.976
SET      12.159       99.977
SET      12.223       99.978
SET      12.287       99.979
SET      12.351       99.980
SET      12.351       99.982
SET      12.415       99.983
SET      12.479       99.984
SET      12.543       99.985
SET      12.607       99.987
SET      12.607       99.988
SET      12.671       99.988
SET      12.671       99.989
SET      12.735       99.990
SET      12.799       99.990
SET      12.799       99.991
SET      12.927       99.991
SET      12.991       99.992
SET      12.991       99.993
SET      13.055       99.993
SET      13.119       99.994
SET      13.183       99.994
SET      13.183       99.995
SET      13.183       99.995
SET      13.183       99.995
SET      13.247       99.995
SET      13.375       99.996
SET      13.375       99.996
SET      13.375       99.996
SET      13.503       99.997
SET      13.503       99.997
SET      13.503       99.997
SET      13.503       99.997
SET      13.503       99.997
SET      13.503       99.998
SET      13.503       99.998
SET      13.631       99.998
SET      13.631       99.998
SET      13.759       99.998
SET      13.759       99.998
SET      13.823       99.998
SET      13.823       99.999
SET      13.887       99.999
SET      13.887       99.999
SET      13.887       99.999
SET      13.887       99.999
SET      13.887       99.999
SET      13.887       99.999
SET      13.887       99.999
SET      14.015       99.999
SET      14.015       99.999
SET      14.015       99.999
SET      14.143       99.999
SET      14.143       99.999
SET      14.143       99.999
SET      14.143       99.999
SET      14.591       99.999
SET      14.591      100.000
SET      14.591      100.000
SET      14.591      100.000
SET      14.591      100.000
SET      14.591      100.000
SET      14.655      100.000
SET      14.655      100.000
SET      14.655      100.000
SET      14.655      100.000
SET      14.655      100.000
SET      14.655      100.000
SET      14.655      100.000
SET      14.655      100.000
SET      14.655      100.000
SET      14.655      100.000
SET      16.383      100.000
SET      16.383      100.000
---
GET       0.039        0.000
GET       0.223        5.000
GET       0.263       10.000
GET       0.287       15.000
GET       0.319       20.000
GET       0.351       25.000
GET       0.399       30.000
GET       0.439       35.000
GET       0.471       40.000
GET       0.503       45.000
GET       0.527       50.000
GET       0.543       52.500
