Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         4125.89          ---          ---         2.51087         1.18300         6.20700        10.17500       277.54 
Gets        41232.44     12853.68     28378.77         2.50511         1.17500         5.82300        10.23900      1766.42 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      45358.33     12853.68     28378.77         2.50563         1.17500         5.85500        10.23900      2043.96 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.055        0.000
SET       0.167        5.000
SET       0.215       10.000
SET       0.263       15.000
SET       0.303       20.000
SET       0.351       25.000
SET       0.399       30.000
SET       0.455       35.000
SET       0.527       40.000
SET       0.639       45.000
SET       1.183       50.000
SET       2.431       52.500
SET       2.879       55.000
SET       3.103       57.500
SET       3.967       60.000
SET       4.863       62.500
SET       4.959       65.000
SET       4.991       67.500
SET       5.023       70.000
SET       5.055       72.500
SET       5.055       75.000
SET       5.055       76.250
SET       5.087       77.500
SET       5.087       78.750
SET       5.087       80.000
SET       5.087       81.250
SET       5.087       82.500
SET       5.087       83.750
SET       5.119       85.000
SET       5.119       86.250
SET       5.119       87.500
SET       5.119       88.125
SET       5.119       88.750
SET       5.151       89.375
SET       5.151       90.000
SET       5.151       90.625
SET       5.151       91.250
SET       5.183       91.875
SET       5.183       92.500
SET       5.183       93.125
SET       5.215       93.750
SET       5.215       94.062
SET       5.215       94.375
SET       5.215       94.688
SET       5.247       95.000
SET       5.247       95.312
SET       5.247       95.625
SET       5.279       95.938
SET       5.279       96.250
SET       5.311       96.562
SET       5.311       96.875
SET       5.311       97.031
SET       5.343       97.188
SET       5.343       97.344
SET       5.375       97.500
SET       5.375       97.656
SET       5.375       97.812
SET       5.407       97.969
SET       5.439       98.125
SET       5.439       98.281
SET       5.471       98.438
SET       5.503       98.516
SET       5.535       98.594
SET       5.535       98.672
SET       5.599       98.750
SET       5.631       98.828
SET       5.759       98.906
SET       6.111       98.984
SET       6.623       99.062
SET       7.007       99.141
SET       7.391       99.219
SET       7.455       99.258
