Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         3440.22          ---          ---         3.20605         0.58300         9.08700        16.19100       231.42 
Gets        34370.46      6667.44     27703.03         3.18597         0.56700         8.89500        16.19100      1231.80 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      37810.69      6667.44     27703.03         3.18780         0.56700         8.89500        16.19100      1463.22 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.055        0.000
SET       0.151        5.000
SET       0.199       10.000
SET       0.239       15.000
SET       0.279       20.000
SET       0.311       25.000
SET       0.351       30.000
SET       0.391       35.000
SET       0.439       40.000
SET       0.503       45.000
SET       0.583       50.000
SET       0.647       52.500
SET       0.735       55.000
SET       0.967       57.500
SET       2.095       60.000
SET       4.031       62.500
SET       4.479       65.000
SET       5.215       67.500
SET       7.871       70.000
SET       7.967       72.500
SET       8.031       75.000
SET       8.031       76.250
SET       8.031       77.500
SET       8.063       78.750
SET       8.063       80.000
SET       8.063       81.250
SET       8.063       82.500
SET       8.095       83.750
SET       8.095       85.000
SET       8.095       86.250
SET       8.095       87.500
SET       8.095       88.125
SET       8.127       88.750
SET       8.127       89.375
SET       8.127       90.000
SET       8.127       90.625
SET       8.127       91.250
SET       8.159       91.875
SET       8.159       92.500
SET       8.159       93.125
SET       8.191       93.750
SET       8.191       94.062
SET       8.191       94.375
SET       8.191       94.688
SET       8.255       95.000
SET       8.255       95.312
SET       8.255       95.625
SET       8.255       95.938
SET       8.255       96.250
SET       8.255       96.562
SET       8.319       96.875
SET       8.319       97.031
SET       8.319       97.188
SET       8.319       97.344
SET       8.319       97.500
SET       8.319       97.656
SET       8.383       97.812
SET       8.383       97.969
SET       8.383       98.125
SET       8.447       98.281
SET       8.447       98.438
SET       8.447       98.516
SET       8.511       98.594
SET       8.511       98.672
SET       8.575       98.750
SET       8.575       98.828
SET       8.767       98.906
SET       8.959       98.984
SET       9.535       99.062
SET       9.983       99.141
SET      11.007       99.219
SET      11.327       99.258
