Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=1250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        13903.35          ---          ---         1.21391         0.69500        14.20700        22.39900       935.41 
Gets       139002.01     54939.24     84062.76         1.19404         0.67900        14.01500        21.88700      6646.20 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     152905.36     54939.24     84062.76         1.19585         0.68700        14.01500        21.88700      7581.61 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.055        0.000
SET       0.303        5.000
SET       0.375       10.000
SET       0.431       15.000
SET       0.471       20.000
SET       0.511       25.000
SET       0.543       30.000
SET       0.567       35.000
SET       0.607       40.000
SET       0.647       45.000
SET       0.695       50.000
SET       0.727       52.500
SET       0.759       55.000
SET       0.799       57.500
SET       0.839       60.000
SET       0.887       62.500
SET       0.927       65.000
SET       0.975       67.500
SET       1.023       70.000
SET       1.079       72.500
SET       1.135       75.000
SET       1.175       76.250
SET       1.207       77.500
SET       1.255       78.750
SET       1.295       80.000
SET       1.351       81.250
SET       1.407       82.500
SET       1.471       83.750
SET       1.535       85.000
SET       1.615       86.250
SET       1.703       87.500
SET       1.751       88.125
SET       1.807       88.750
SET       1.863       89.375
SET       1.927       90.000
SET       1.983       90.625
SET       2.063       91.250
SET       2.143       91.875
SET       2.223       92.500
SET       2.319       93.125
SET       2.431       93.750
SET       2.495       94.062
SET       2.559       94.375
SET       2.639       94.688
SET       2.703       95.000
SET       2.799       95.312
SET       2.911       95.625
SET       3.039       95.938
SET       3.215       96.250
SET       3.423       96.562
SET       3.743       96.875
SET       3.983       97.031
SET       4.287       97.188
SET       4.671       97.344
SET       5.311       97.500
SET       6.623       97.656
SET       8.063       97.812
SET       9.215       97.969
SET      10.175       98.125
SET      10.943       98.281
SET      11.647       98.438
SET      11.967       98.516
SET      12.351       98.594
SET      12.671       98.672
SET      13.055       98.750
SET      13.439       98.828
SET      13.759       98.906
SET      14.143       98.984
SET      14.527       99.062
SET      14.911       99.141
SET      15.295       99.219
SET      15.487       99.258
