Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         4497.39          ---          ---         1.45410         1.07100         6.52700         8.51100       302.54 
Gets        44965.12     16215.73     28749.40         1.35994         0.99900         6.33500         7.83900      2057.08 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      49462.51     16215.73     28749.40         1.36850         1.00700         6.36700         7.87100      2359.62 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.087        0.000
SET       0.431        5.000
SET       0.551       10.000
SET       0.631       15.000
SET       0.695       20.000
SET       0.759       25.000
SET       0.807       30.000
SET       0.863       35.000
SET       0.927       40.000
SET       0.991       45.000
SET       1.071       50.000
SET       1.103       52.500
SET       1.151       55.000
SET       1.199       57.500
SET       1.247       60.000
SET       1.303       62.500
SET       1.359       65.000
SET       1.423       67.500
SET       1.503       70.000
SET       1.575       72.500
SET       1.663       75.000
SET       1.719       76.250
SET       1.767       77.500
SET       1.823       78.750
SET       1.879       80.000
SET       1.943       81.250
SET       2.015       82.500
SET       2.095       83.750
SET       2.191       85.000
SET       2.287       86.250
SET       2.399       87.500
SET       2.463       88.125
SET       2.527       88.750
SET       2.607       89.375
SET       2.687       90.000
SET       2.767       90.625
SET       2.879       91.250
SET       3.007       91.875
SET       3.135       92.500
SET       3.295       93.125
SET       3.503       93.750
SET       3.631       94.062
SET       3.791       94.375
SET       3.983       94.688
SET       4.191       95.000
SET       4.447       95.312
SET       4.671       95.625
SET       4.895       95.938
SET       5.087       96.250
SET       5.279       96.562
SET       5.439       96.875
SET       5.503       97.031
SET       5.599       97.188
SET       5.663       97.344
SET       5.727       97.500
SET       5.791       97.656
SET       5.887       97.812
SET       5.951       97.969
SET       6.015       98.125
SET       6.111       98.281
SET       6.175       98.438
SET       6.239       98.516
SET       6.271       98.594
SET       6.335       98.672
SET       6.367       98.750
SET       6.431       98.828
SET       6.463       98.906
SET       6.527       98.984
SET       6.559       99.062
SET       6.623       99.141
SET       6.687       99.219
SET       6.751       99.258
SET       6.783       99.297
SET       6.815       99.336
SET       6.847       99.375
SET       6.879       99.414
SET       6.943       99.453
SET       6.975       99.492
SET       7.007       99.531
SET       7.071       99.570
SET       7.103       99.609
SET       7.167       99.629
SET       7.199       99.648
SET       7.231       99.668
SET       7.263       99.688
SET       7.327       99.707
SET       7.359       99.727
SET       7.391       99.746
SET       7.455       99.766
SET       7.551       99.785
SET       7.647       99.805
SET       7.711       99.814
SET       7.807       99.824
SET       7.839       99.834
SET       7.903       99.844
SET       7.999       99.854
SET       8.063       99.863
SET       8.159       99.873
SET       8.319       99.883
SET       8.383       99.893
SET       8.511       99.902
SET       8.575       99.907
SET       8.703       99.912
SET       8.767       99.917
SET       8.895       99.922
SET       9.087       99.927
SET       9.215       99.932
SET       9.343       99.937
SET       9.535       99.941
SET       9.727       99.946
SET       9.919       99.951
SET       9.983       99.954
SET      10.047       99.956
SET      10.111       99.958
SET      10.303       99.961
SET      10.367       99.963
SET      10.431       99.966
SET      10.559       99.968
SET      10.815       99.971
SET      10.815       99.973
SET      10.879       99.976
SET      11.007       99.977
SET      11.135       99.978
SET      11.199       99.979
SET      11.263       99.980
SET      11.327       99.982
SET      11.327       99.983
SET      11.327       99.984
SET      11.455       99.985
SET      11.455       99.987
SET      11.519       99.988
SET      11.711       99.988
SET      11.775       99.989
SET      11.775       99.990
SET      11.903       99.990
SET      11.967       99.991
SET      11.967       99.991
SET      11.967       99.992
SET      12.031       99.993
SET      12.031       99.993
SET      12.095       99.994
SET      12.159       99.994
SET      12.159       99.995
SET      12.159       99.995
SET      12.287       99.995
SET      12.287       99.995
SET      12.287       99.996
SET      12.287       99.996
SET      12.351       99.996
SET      12.351       99.997
SET      12.351       99.997
SET      12.415       99.997
SET      12.415       99.997
SET      12.415       99.997
SET      12.415       99.998
SET      12.415       99.998
SET      12.607       99.998
SET      12.607       99.998
SET      12.607       99.998
SET      12.607       99.998
SET      12.607       99.998
SET      19.327       99.999
SET      19.327       99.999
SET      19.327       99.999
SET      19.327       99.999
SET      19.327       99.999
SET      19.327       99.999
SET      19.327       99.999
SET      19.327       99.999
SET      19.327       99.999
SET      19.327       99.999
SET      24.063       99.999
SET      24.063      100.000
---
GET       0.071        0.000
GET       0.399        5.000
GET       0.511       10.000
GET       0.591       15.000
GET       0.655       20.000
GET       0.719       25.000
GET       0.767       30.000
GET       0.823       35.000
GET       0.871       40.000
GET       0.935       45.000
GET       0.999       50.000
GET       1.039       52.500
GET       1.079       55.000
GET       1.127       57.500
GET       1.175       60.000
GET       1.223       62.500
GET       1.271       65.000
GET       1.327       67.500
GET       1.391       70.000
GET       1.463       72.500
GET       1.543       75.000
GET       1.583       76.250
GET       1.631       77.500
GET       1.679       78.750
GET       1.735       80.000
GET       1.791       81.250
GET       1.855       82.500
GET       1.919       83.750
GET       1.991       85.000
GET       2.079       86.250
GET       2.175       87.500
GET       2.223       88.125
GET       2.287       88.750
GET       2.351       89.375
GET       2.415       90.000
GET       2.495       90.625
GET       2.575       91.250
GET       2.687       91.875
GET       2.815       92.500
GET       2.975       93.125
GET       3.167       93.750
GET       3.311       94.062
GET       3.487       94.375
GET       3.695       94.688
GET       3.951       95.000
GET       4.223       95.312
GET       4.511       95.625
GET       4.735       95.938
GET       4.927       96.250
GET       5.087       96.562
GET       5.279       96.875
GET       5.343       97.031
GET       5.407       97.188
GET       5.503       97.344
GET       5.567       97.500
GET       5.631       97.656
GET       5.695       97.812
GET       5.791       97.969
GET       5.855       98.125
GET       5.919       98.281
GET       6.015       98.438
GET       6.047       98.516
GET       6.079       98.594
GET       6.143       98.672
GET       6.175       98.750
GET       6.239       98.828
GET       6.271       98.906
GET       6.335       98.984
GET       6.367       99.062
GET       6.431       99.141
GET       6.495       99.219
GET       6.527       99.258
GET       6.559       99.297
GET       6.591       99.336
GET       6.623       99.375
GET       6.655       99.414
GET       6.719       99.453
GET       6.751       99.492
GET       6.783       99.531
GET       6.847       99.570
GET       6.911       99.609
GET       6.911       99.629
GET       6.975       99.648
GET       7.007       99.668
GET       7.039       99.688
GET       7.071       99.707
GET       7.103       99.727
GET       7.167       99.746
GET       7.199       99.766
GET       7.263       99.785
GET       7.295       99.805
GET       7.327       99.814
GET       7.359       99.824
GET       7.423       99.834
GET       7.455       99.844
GET       7.487       99.854
GET       7.551       99.863
GET       7.615       99.873
GET       7.679       99.883
GET       7.775       99.893
GET       7.839       99.902
GET       7.903       99.907
GET       7.967       99.912
GET       8.031       99.917
GET       8.127       99.922
GET       8.255       99.927
GET       8.319       99.932
GET       8.511       99.937
GET       8.639       99.941
GET       8.831       99.946
GET       9.087       99.951
GET       9.215       99.954
GET       9.343       99.956
GET       9.535       99.958
GET       9.663       99.961
GET       9.855       99.963
GET       9.983       99.966
GET      10.175       99.968
GET      10.303       99.971
GET      10.495       99.973
GET      10.623       99.976
GET      10.687       99.977
GET      10.751       99.978
GET      10.879       99.979
GET      10.943       99.980
GET      11.071       99.982
GET      11.071       99.983
GET      11.199       99.984
GET      11.327       99.985
GET      11.455       99.987
GET      11.519       99.988
GET      11.583       99.988
GET      11.647       99.989
GET      11.711       99.990
GET      11.775       99.990
GET      11.903       99.991
GET      11.967       99.991
GET      12.031       99.992
GET      12.095       99.993
GET      12.159       99.993
GET      12.287       99.994
GET      12.351       99.994
GET      12.479       99.995
GET      12.543       99.995
GET      12.671       99.995
GET      12.799       99.995
GET      12.991       99.996
GET      13.055       99.996
GET      13.567       99.996
GET      14.207       99.997
GET      15.231       99.997
GET      15.871       99.997
GET      16.063       99.997
GET      16.255       99.997
GET      16.895       99.998
GET      17.279       99.998
GET      17.407       99.998
GET      17.535       99.998
GET      17.663       99.998
GET      17.791       99.998
GET      17.919       99.998
GET      17.919       99.999
GET      17.919       99.999
GET      18.047       99.999
GET      18.431       99.999
GET      18.431       99.999
GET      18.687       99.999
GET      18.943       99.999
GET      18.943       99.999
GET      19.071       99.999
GET      19.455       99.999
GET      19.967       99.999
GET      19.967       99.999
GET      20.351       99.999
GET      20.351       99.999
GET      20.863       99.999
GET      20.863       99.999
GET      21.503      100.000
GET      21.503      100.000
GET      21.887      100.000
GET      21.887      100.000
GET      22.527      100.000
GET      22.527      100.000
GET      22.527      100.000
GET      22.527      100.000
GET      22.911      100.000
GET      22.911      100.000
GET      22.911      100.000
GET      22.911      100.000
GET      23.679      100.000
GET      23.679      100.000
GET      23.679      100.000
GET      23.679      100.000
GET      23.679      100.000
GET      23.679      100.000
GET      23.935      100.000
GET      23.935      100.000
GET      23.935      100.000
GET      23.935      100.000
GET      23.935      100.000
GET      23.935      100.000
GET      23.935      100.000
GET      23.935      100.000
GET      23.935      100.000
GET      23.935      100.000
GET      24.703      100.000
GET      24.703      100.000
---
WAIT      0.000      100.000
