Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=1250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        17288.27          ---          ---         0.89684         1.02300         2.97500         5.15100      1163.07 
Gets       172849.88     60627.78    112222.10         0.88779         1.01500         2.95900         5.05500      7806.73 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     190138.15     60627.78    112222.10         0.88861         1.01500         2.95900         5.05500      8969.81 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.039        0.000
SET       0.087        5.000
SET       0.111       10.000
SET       0.135       15.000
SET       0.159       20.000
SET       0.183       25.000
SET       0.215       30.000
SET       0.263       35.000
SET       0.351       40.000
SET       0.911       45.000
SET       1.023       50.000
SET       1.063       52.500
SET       1.119       55.000
SET       1.175       57.500
SET       1.255       60.000
SET       1.319       62.500
SET       1.367       65.000
SET       1.391       67.500
SET       1.415       70.000
SET       1.431       72.500
SET       1.439       75.000
SET       1.447       76.250
SET       1.447       77.500
SET       1.455       78.750
SET       1.463       80.000
SET       1.471       81.250
SET       1.471       82.500
SET       1.479       83.750
SET       1.487       85.000
SET       1.495       86.250
SET       1.503       87.500
SET       1.511       88.125
SET       1.511       88.750
SET       1.519       89.375
SET       1.527       90.000
SET       1.535       90.625
SET       1.543       91.250
SET       1.551       91.875
SET       1.567       92.500
SET       1.583       93.125
SET       1.607       93.750
SET       1.615       94.062
SET       1.631       94.375
SET       1.647       94.688
SET       1.671       95.000
SET       1.703       95.312
SET       1.751       95.625
SET       1.831       95.938
SET       2.063       96.250
SET       2.287       96.562
SET       2.431       96.875
SET       2.479       97.031
SET       2.527       97.188
SET       2.575       97.344
SET       2.623       97.500
SET       2.671       97.656
SET       2.719       97.812
SET       2.767       97.969
SET       2.815       98.125
SET       2.847       98.281
SET       2.879       98.438
SET       2.895       98.516
SET       2.895       98.594
SET       2.911       98.672
SET       2.927       98.750
SET       2.943       98.828
SET       2.959       98.906
SET       2.975       98.984
SET       3.007       99.062
SET       3.023       99.141
SET       3.071       99.219
SET       3.087       99.258
SET       3.119       99.297
SET       3.151       99.336
SET       3.199       99.375
SET       3.263       99.414
SET       3.375       99.453
SET       3.519       99.492
SET       3.631       99.531
SET       3.823       99.570
SET       3.983       99.609
SET       4.047       99.629
SET       4.095       99.648
SET       4.159       99.668
SET       4.191       99.688
SET       4.223       99.707
SET       4.287       99.727
SET       4.319       99.746
SET       4.351       99.766
SET       4.383       99.785
SET       4.447       99.805
SET       4.479       99.814
SET       4.511       99.824
SET       4.543       99.834
SET       4.575       99.844
SET       4.639       99.854
SET       4.703       99.863
SET       4.735       99.873
SET       4.927       99.883
SET       5.023       99.893
SET       5.215       99.902
SET       5.279       99.907
SET       5.375       99.912
SET       5.439       99.917
SET       5.535       99.922
SET       5.567       99.927
SET       5.663       99.932
SET       5.727       99.937
SET       5.759       99.941
SET       5.823       99.946
SET       5.887       99.951
SET       5.887       99.954
SET       5.919       99.956
SET       5.951       99.958
SET       6.015       99.961
SET       6.047       99.963
SET       6.111       99.966
SET       6.207       99.968
SET       6.367       99.971
SET       6.495       99.973
SET       6.591       99.976
SET       6.687       99.977
SET       6.751       99.978
SET       6.879       99.979
SET       6.975       99.980
SET       7.071       99.982
SET       7.135       99.983
SET       7.199       99.984
SET       7.231       99.985
SET       7.263       99.987
SET       7.327       99.988
SET       7.327       99.988
SET       7.391       99.989
SET       7.455       99.990
SET       7.519       99.990
SET       7.551       99.991
SET       7.647       99.991
SET       7.743       99.992
SET       7.871       99.993
SET       7.999       99.993
SET       8.095       99.994
SET       8.127       99.994
SET       8.319       99.995
SET       8.447       99.995
SET       8.511       99.995
SET       8.575       99.995
SET       8.575       99.996
SET       8.703       99.996
SET       8.703       99.996
SET       8.767       99.997
SET       8.767       99.997
SET       8.767       99.997
SET       8.895       99.997
SET       8.895       99.997
SET       8.895       99.998
SET       8.895       99.998
SET       8.895       99.998
SET       8.895       99.998
SET       8.959       99.998
SET       8.959       99.998
SET       9.023       99.998
SET       9.023       99.999
SET       9.023       99.999
SET       9.023       99.999
SET       9.023       99.999
SET       9.087       99.999
SET       9.087       99.999
SET       9.087       99.999
SET       9.407       99.999
SET       9.407       99.999
SET       9.983       99.999
SET       9.983       99.999
SET       9.983       99.999
SET       9.983       99.999
SET       9.983       99.999
SET       9.983       99.999
SET       9.983       99.999
SET       9.983      100.000
SET       9.983      100.000
SET       9.983      100.000
SET      10.047      100.000
SET      10.047      100.000
SET      10.047      100.000
SET      10.047      100.000
SET      10.047      100.000
SET      10.047      100.000
SET      10.047      100.000
SET      10.047      100.000
SET      10.047      100.000
SET      10.047      100.000
SET      10.111      100.000
SET      10.111      100.000
---
GET       0.039        0.000
GET       0.087        5.000
GET       0.111       10.000
GET       0.135       15.000
GET       0.151       20.000
GET       0.183       25.000
GET       0.215       30.000
GET       0.255       35.000
GET       0.343       40.000
GET       0.903       45.000
GET       1.015       50.000
GET       1.063       52.500
GET       1.111       55.000
GET       1.175       57.500
GET       1.247       60.000
GET       1.311       62.500
GET       1.359       65.000
GET       1.391       67.500
GET       1.407       70.000
GET       1.423       72.500
GET       1.439       75.000
GET       1.439       76.250
GET       1.447       77.500
GET       1.455       78.750
GET       1.455       80.000
GET       1.463       81.250
GET       1.471       82.500
GET       1.479       83.750
GET       1.487       85.000
GET       1.487       86.250
GET       1.503       87.500
GET       1.503       88.125
GET       1.511       88.750
GET       1.519       89.375
GET       1.519       90.000
GET       1.527       90.625
GET       1.543       91.250
GET       1.551       91.875
GET       1.559       92.500
GET       1.575       93.125
GET       1.591       93.750
GET       1.607       94.062
GET       1.623       94.375
GET       1.639       94.688
GET       1.655       95.000
GET       1.679       95.312
GET       1.719       95.625
GET       1.767       95.938
GET       1.871       96.250
GET       2.159       96.562
GET       2.367       96.875
GET       2.431       97.031
GET       2.479       97.188
GET       2.527       97.344
GET       2.575       97.500
GET       2.623       97.656
GET       2.671       97.812
GET       2.735       97.969
GET       2.783       98.125
GET       2.815       98.281
GET       2.847       98.438
GET       2.863       98.516
GET       2.879       98.594
GET       2.895       98.672
GET       2.911       98.750
GET       2.927       98.828
GET       2.943       98.906
GET       2.959       98.984
GET       2.975       99.062
GET       3.007       99.141
GET       3.023       99.219
GET       3.055       99.258
GET       3.071       99.297
GET       3.103       99.336
GET       3.135       99.375
GET       3.183       99.414
GET       3.247       99.453
GET       3.327       99.492
GET       3.471       99.531
GET       3.631       99.570
GET       3.855       99.609
GET       3.935       99.629
GET       3.999       99.648
GET       4.063       99.668
GET       4.127       99.688
GET       4.191       99.707
GET       4.223       99.727
GET       4.287       99.746
GET       4.319       99.766
GET       4.351       99.785
GET       4.415       99.805
GET       4.415       99.814
GET       4.447       99.824
GET       4.479       99.834
GET       4.543       99.844
GET       4.575       99.854
GET       4.639       99.863
GET       4.703       99.873
GET       4.799       99.883
GET       4.927       99.893
GET       5.087       99.902
GET       5.183       99.907
GET       5.279       99.912
GET       5.375       99.917
GET       5.471       99.922
GET       5.535       99.927
GET       5.599       99.932
GET       5.663       99.937
GET       5.727       99.941
GET       5.791       99.946
GET       5.823       99.951
GET       5.855       99.954
GET       5.887       99.956
GET       5.919       99.958
GET       5.951       99.961
GET       5.983       99.963
GET       6.047       99.966
GET       6.111       99.968
GET       6.175       99.971
GET       6.271       99.973
GET       6.399       99.976
GET       6.463       99.977
GET       6.559       99.978
GET       6.655       99.979
GET       6.751       99.980
GET       6.847       99.982
GET       6.911       99.983
GET       7.007       99.984
GET       7.071       99.985
GET       7.167       99.987
GET       7.231       99.988
GET       7.263       99.988
GET       7.295       99.989
GET       7.327       99.990
GET       7.359       99.990
GET       7.391       99.991
GET       7.423       99.991
GET       7.455       99.992
GET       7.519       99.993
GET       7.583       99.993
GET       7.647       99.994
GET       7.775       99.994
GET       7.871       99.995
GET       7.967       99.995
GET       8.031       99.995
GET       8.127       99.995
GET       8.255       99.996
GET       8.319       99.996
GET       8.447       99.996
GET       8.511       99.997
GET       8.639       99.997
GET       8.639       99.997
GET       8.703       99.997
GET       8.703       99.997
GET       8.767       99.998
GET       8.767       99.998
GET       8.831       99.998
GET       8.895       99.998
GET       8.895       99.998
GET       8.959       99.998
