Sysbench is running in the background...
[2024-12-06 08:12:04] sysbench 1.0.20 (using system LuaJIT 2.1.0-beta3)
[2024-12-06 08:12:04] 
[2024-12-06 08:12:04] Running the test with following options:
[2024-12-06 08:12:04] Number of threads: 8
[2024-12-06 08:12:04] Report intermediate results every 1 second(s)
[2024-12-06 08:12:04] Initializing random number generator from current time
[2024-12-06 08:12:04] 
[2024-12-06 08:12:04] 
[2024-12-06 08:12:04] Prime numbers limit: 10000
[2024-12-06 08:12:04] 
[2024-12-06 08:12:04] Initializing worker threads...
[2024-12-06 08:12:04] 
[2024-12-06 08:12:04] Threads started!
[2024-12-06 08:12:04] 
[2024-12-06 08:12:05] [ 1s ] thds: 8 eps: 1150.71 lat (ms,95%): 16.41
[2024-12-06 08:12:06] [ 2s ] thds: 8 eps: 855.05 lat (ms,95%): 15.27
[2024-12-06 08:12:07] [ 3s ] thds: 8 eps: 855.00 lat (ms,95%): 15.27
[2024-12-06 08:12:08] [ 4s ] thds: 8 eps: 810.00 lat (ms,95%): 15.55
[2024-12-06 08:12:09] [ 5s ] thds: 8 eps: 853.00 lat (ms,95%): 15.27
[2024-12-06 08:12:10] [ 6s ] thds: 8 eps: 856.00 lat (ms,95%): 15.27
[2024-12-06 08:12:11] [ 7s ] thds: 8 eps: 856.96 lat (ms,95%): 15.27
[2024-12-06 08:12:12] [ 8s ] thds: 8 eps: 855.03 lat (ms,95%): 15.27
[2024-12-06 08:12:13] [ 9s ] thds: 8 eps: 857.00 lat (ms,95%): 15.27
[2024-12-06 08:12:14] [ 10s ] thds: 8 eps: 857.00 lat (ms,95%): 15.27
[2024-12-06 08:12:15] [ 11s ] thds: 8 eps: 817.16 lat (ms,95%): 15.27
[2024-12-06 08:12:16] [ 12s ] thds: 8 eps: 500.51 lat (ms,95%): 35.59
[2024-12-06 08:12:17] [ 13s ] thds: 8 eps: 1271.33 lat (ms,95%): 15.55
[2024-12-06 08:12:18] [ 14s ] thds: 8 eps: 1702.25 lat (ms,95%): 13.46
[2024-12-06 08:12:19] [ 15s ] thds: 8 eps: 1250.86 lat (ms,95%): 23.52
[2024-12-06 08:12:20] [ 16s ] thds: 8 eps: 915.17 lat (ms,95%): 28.16
[2024-12-06 08:12:21] [ 17s ] thds: 8 eps: 1105.95 lat (ms,95%): 25.28
[2024-12-06 08:12:22] [ 18s ] thds: 8 eps: 1117.14 lat (ms,95%): 25.28
[2024-12-06 08:12:23] [ 19s ] thds: 8 eps: 1269.13 lat (ms,95%): 25.28
[2024-12-06 08:12:24] [ 20s ] thds: 8 eps: 1468.99 lat (ms,95%): 22.28
[2024-12-06 08:12:25] [ 21s ] thds: 8 eps: 1494.95 lat (ms,95%): 22.28
[2024-12-06 08:12:26] [ 22s ] thds: 8 eps: 1520.14 lat (ms,95%): 22.28
[2024-12-06 08:12:27] [ 23s ] thds: 8 eps: 1030.06 lat (ms,95%): 23.52
[2024-12-06 08:12:28] [ 24s ] thds: 8 eps: 714.03 lat (ms,95%): 15.55
[2024-12-06 08:12:29] [ 25s ] thds: 8 eps: 716.00 lat (ms,95%): 15.55
[2024-12-06 08:12:30] [ 26s ] thds: 8 eps: 816.99 lat (ms,95%): 15.55
[2024-12-06 08:12:31] [ 27s ] thds: 8 eps: 854.04 lat (ms,95%): 15.27
[2024-12-06 08:12:32] [ 28s ] thds: 8 eps: 854.01 lat (ms,95%): 15.27
[2024-12-06 08:12:33] [ 29s ] thds: 8 eps: 856.00 lat (ms,95%): 15.27
[2024-12-06 08:12:34] [ 30s ] thds: 8 eps: 857.00 lat (ms,95%): 15.27
[2024-12-06 08:12:35] [ 31s ] thds: 8 eps: 857.00 lat (ms,95%): 15.27
[2024-12-06 08:12:36] [ 32s ] thds: 8 eps: 856.00 lat (ms,95%): 15.27
[2024-12-06 08:12:37] [ 33s ] thds: 8 eps: 812.01 lat (ms,95%): 15.27
[2024-12-06 08:12:38] [ 34s ] thds: 8 eps: 1671.78 lat (ms,95%): 13.46
[2024-12-06 08:12:39] [ 35s ] thds: 8 eps: 2151.08 lat (ms,95%): 11.45
[2024-12-06 08:12:40] [ 36s ] thds: 8 eps: 1953.61 lat (ms,95%): 11.45
[2024-12-06 08:12:41] [ 37s ] thds: 8 eps: 1434.25 lat (ms,95%): 23.52
[2024-12-06 08:12:42] [ 38s ] thds: 8 eps: 1437.56 lat (ms,95%): 23.52
[2024-12-06 08:12:43] [ 39s ] thds: 8 eps: 1436.55 lat (ms,95%): 23.52
[2024-12-06 08:12:44] [ 40s ] thds: 8 eps: 1431.87 lat (ms,95%): 23.52
[2024-12-06 08:12:45] [ 41s ] thds: 8 eps: 1433.94 lat (ms,95%): 23.52
[2024-12-06 08:12:46] [ 42s ] thds: 8 eps: 1437.15 lat (ms,95%): 23.10
[2024-12-06 08:12:47] [ 43s ] thds: 8 eps: 1436.92 lat (ms,95%): 23.52
[2024-12-06 08:12:48] [ 44s ] thds: 8 eps: 1266.04 lat (ms,95%): 23.52
[2024-12-06 08:12:49] [ 45s ] thds: 8 eps: 717.00 lat (ms,95%): 15.55
[2024-12-06 08:12:50] [ 46s ] thds: 8 eps: 720.96 lat (ms,95%): 15.55
[2024-12-06 08:12:51] [ 47s ] thds: 8 eps: 771.07 lat (ms,95%): 15.55
[2024-12-06 08:12:52] [ 48s ] thds: 8 eps: 855.00 lat (ms,95%): 15.27
[2024-12-06 08:12:53] [ 49s ] thds: 8 eps: 858.00 lat (ms,95%): 15.27
[2024-12-06 08:12:54] [ 50s ] thds: 8 eps: 858.96 lat (ms,95%): 15.27
[2024-12-06 08:12:55] [ 51s ] thds: 8 eps: 855.04 lat (ms,95%): 15.27
[2024-12-06 08:12:56] [ 52s ] thds: 8 eps: 861.00 lat (ms,95%): 15.27
[2024-12-06 08:12:57] [ 53s ] thds: 8 eps: 859.00 lat (ms,95%): 15.27
[2024-12-06 08:12:58] [ 54s ] thds: 8 eps: 854.00 lat (ms,95%): 15.27
[2024-12-06 08:12:59] [ 55s ] thds: 8 eps: 1253.94 lat (ms,95%): 15.27
[2024-12-06 08:13:00] [ 56s ] thds: 8 eps: 2158.91 lat (ms,95%): 11.45
[2024-12-06 08:13:01] [ 57s ] thds: 8 eps: 2123.00 lat (ms,95%): 11.45
[2024-12-06 08:13:02] [ 58s ] thds: 8 eps: 1565.05 lat (ms,95%): 21.50
[2024-12-06 08:13:03] [ 59s ] thds: 8 eps: 1425.42 lat (ms,95%): 23.52
[2024-12-06 08:13:04] [ 60s ] thds: 8 eps: 1384.23 lat (ms,95%): 23.52
[2024-12-06 08:13:05] [ 61s ] thds: 8 eps: 1416.97 lat (ms,95%): 23.52
[2024-12-06 08:13:06] [ 62s ] thds: 8 eps: 1339.46 lat (ms,95%): 23.52
[2024-12-06 08:13:07] [ 63s ] thds: 8 eps: 1391.99 lat (ms,95%): 23.52
[2024-12-06 08:13:08] [ 64s ] thds: 8 eps: 1386.74 lat (ms,95%): 23.52
[2024-12-06 08:13:09] [ 65s ] thds: 8 eps: 1239.01 lat (ms,95%): 23.52
[2024-12-06 08:13:10] [ 66s ] thds: 8 eps: 782.02 lat (ms,95%): 21.11
[2024-12-06 08:13:11] [ 67s ] thds: 8 eps: 718.97 lat (ms,95%): 15.55
[2024-12-06 08:13:12] [ 68s ] thds: 8 eps: 737.05 lat (ms,95%): 15.55
[2024-12-06 08:13:13] [ 69s ] thds: 8 eps: 851.00 lat (ms,95%): 15.27
[2024-12-06 08:13:14] [ 70s ] thds: 8 eps: 853.97 lat (ms,95%): 15.27
[2024-12-06 08:13:15] [ 71s ] thds: 8 eps: 849.03 lat (ms,95%): 15.27
[2024-12-06 08:13:16] [ 72s ] thds: 8 eps: 853.00 lat (ms,95%): 15.27
[2024-12-06 08:13:17] [ 73s ] thds: 8 eps: 855.00 lat (ms,95%): 15.27
[2024-12-06 08:13:18] [ 74s ] thds: 8 eps: 856.00 lat (ms,95%): 15.27
[2024-12-06 08:13:19] [ 75s ] thds: 8 eps: 855.00 lat (ms,95%): 15.27
[2024-12-06 08:13:20] [ 76s ] thds: 8 eps: 895.99 lat (ms,95%): 17.32
[2024-12-06 08:13:21] [ 77s ] thds: 8 eps: 2066.93 lat (ms,95%): 11.45
[2024-12-06 08:13:22] [ 78s ] thds: 8 eps: 2140.95 lat (ms,95%): 11.45
[2024-12-06 08:13:23] [ 79s ] thds: 8 eps: 1703.96 lat (ms,95%): 17.32
[2024-12-06 08:13:24] [ 80s ] thds: 8 eps: 1470.15 lat (ms,95%): 22.28
[2024-12-06 08:13:25] [ 81s ] thds: 8 eps: 1419.93 lat (ms,95%): 22.28
[2024-12-06 08:13:26] [ 82s ] thds: 8 eps: 1274.48 lat (ms,95%): 23.52
[2024-12-06 08:13:27] [ 83s ] thds: 8 eps: 1438.62 lat (ms,95%): 23.10
[2024-12-06 08:13:28] [ 84s ] thds: 8 eps: 1478.83 lat (ms,95%): 23.10
[2024-12-06 08:13:29] [ 85s ] thds: 8 eps: 1449.81 lat (ms,95%): 22.28
[2024-12-06 08:13:30] [ 86s ] thds: 8 eps: 1332.83 lat (ms,95%): 23.52
[2024-12-06 08:13:31] [ 87s ] thds: 8 eps: 954.00 lat (ms,95%): 23.10
[2024-12-06 08:13:32] [ 88s ] thds: 8 eps: 717.00 lat (ms,95%): 15.55
[2024-12-06 08:13:33] [ 89s ] thds: 8 eps: 713.00 lat (ms,95%): 15.55
[2024-12-06 08:13:34] [ 90s ] thds: 8 eps: 850.05 lat (ms,95%): 15.27
[2024-12-06 08:13:35] [ 91s ] thds: 8 eps: 848.00 lat (ms,95%): 15.27
[2024-12-06 08:13:36] [ 92s ] thds: 8 eps: 855.00 lat (ms,95%): 15.27
[2024-12-06 08:13:37] [ 93s ] thds: 8 eps: 854.00 lat (ms,95%): 15.27
[2024-12-06 08:13:38] [ 94s ] thds: 8 eps: 856.00 lat (ms,95%): 15.27
[2024-12-06 08:13:39] [ 95s ] thds: 8 eps: 854.99 lat (ms,95%): 15.27
